,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
1642,New North Road,475000,Flat / Apartment,477,1,1,1,Hoxton,London,N1 6JB
1643,Bateman's Row,950000,Flat / Apartment,1190,2,2,2,,London,EC2A 3HH
1644,Cicada Road,1250000,House,1658,4,4,4,Wandsworth,London,SW18 2NN
1645,Ennismore Avenue,2500000,House,2960,5,5,5,Chiswick,London,W4 1SF
1646,Arbrook Lane,1950000,House,2817,6,6,6,Esher,Surrey,KT10 9EG
1647,Riverside Court,2950000,Penthouse,2128,3,3,3,20 Nine Elms Lane,London,SW8 5BZ
1648,Otto Building,1300000,Penthouse,1476,3,3,3,Downs Road,London,E5 8DE
1649,Albany Mansions,1025000,Flat / Apartment,947,3,3,3,Albert Bridge Road,London,SW11 4PQ
1650,White Horse Lane,650000,House,997,2,2,2,,London,E1 4LR
1651,Mount Park Road,2000000,House,2593,4,4,4,Harrow On The Hill,Middlesex,HA1 3LD
1652,Bushberry Road,950000,House,1298,4,4,4,,London,E9 5SX
1653,Wilmington House,500000,Flat / Apartment,572,1,1,1, Highbury,London,N5 1RX
1654,Garnet Street,1200000,House,1125,3,3,3,,London,E1W 3QS
1655,Chilton Street,625000,Flat / Apartment,842,1,1,1,Shoreditch,London,E2 6EA
1656,Geraldine Road,1350000,House,1873,5,5,5,Wandsworth,London,SW18 2NR
1657,Furlong Road,1899950,House,1250,3,3,3,,London,N7 8LS
1658,Morpeth Mansions,2100000,Flat / Apartment,1556,4,4,4,Morpeth Terrace,London,SW1P 1ET
1659,No.1 Grosvenor Square,39750000,New development,5623,5,5,5,Mayfair,London,W1K 4AB
1660,No.1 Grosvenor Square,14250000,New development,2415,3,3,3,Mayfair,London,W1K 4AB
1661,Montpelier Road,1300000,Flat / Apartment,1986,3,3,3,,London,W5 2QS
1662,Greencoat Place,730000,Flat / Apartment,693,2,2,2,Westminster,London,SW1P 1AB
1663,Auriol Road,409950,Flat / Apartment,463,1,1,1,,London,W14 0SR
1664,Allfarthing Lane,735000,Flat / Apartment,983,3,3,3,Wandsworth,London,SW18 2PG
1665,Provost Street,495000,Flat / Apartment,499,1,1,1,Old Street,London,N1 7NB
1666,City Lofts,875000,Flat / Apartment,898,1,1,1, Shoreditch,London,EC2A 4LE
1667,Randolph Avenue,1250000,Flat / Apartment,913,2,2,2,,London,W9 1DJ
1668,Marlborough,700000,Flat / Apartment,870,2,2,2,Maida Vale,London,W9 1RW
1669,No.1 Grosvenor,8250000,New development,1455,2,2,2,Mayfair,London,W1K 4AB
1670,Southgate Road,835000,Flat / Apartment,878,2,2,2,,London,N1 3JZ
1671,Orsman Road,800000,New development,920,3,3,3,Hackney,London,N1 5QJ
1672,York Avenue,1950000,House,2006,5,5,5,,London,SW14 7LG
1673,Globe Road,725000,House,904,3,3,3,,London,E1 4DY
1674,Orchard Building,900000,Flat / Apartment,802,2,2,2, Clerkenwell,London,EC1V 3AP
1675,Park Lane,800000,Flat / Apartment,532,1,1,1,Mayfair,London,W1K 7AF
1676,Rusthall Avenue,2550000,House,2679,5,5,5,Chiswick,London,W4 1BW
1677,The Drive,1400000,Bungalow,2921,4,4,4, Uxbridge,Middlesex,UB10 8AF
1678,Shirland Road,675000,Flat / Apartment,676,1,1,1,Maida Vale,London,W9 2BT
1679,Sir John Lyon House,3950000,Flat / Apartment,2780,3,3,3,8 High Timber Street,London,EC4V 3PA
1680,Montrose Gardens,4750000,House,8590,7,7,7,Oxshott,Surrey,KT22 0UU
1681,Grosvenor Road,2250000,House,2736,5,5,5,Chiswick,London,W4 4EH
1682,Leys Road,4300000,House,9623,7,7,7,Oxshott,Surrey,KT22 0QE
1683,Huron Road,2550000,House,3753,7,7,7,,London,SW17 8RD
1684,Herondale Avenue,5500000,House,4292,6,6,6,Wandsworth,London,SW18 3JN
1685,Victoria Rise,435000,Flat / Apartment,465,1,1,1,,London,SW4 0PF
1686,Stapleton Hall Road,499950,Flat / Apartment,666,1,1,1,,London,N4 4QA
1687,Denton Road,1800000,House,2098,4,4,4,,Twickenham,TW1 2TN
1688,Gunmakers Lane,435000,Flat / Apartment,506,1,1,1,,London,E3 5GG
1689,Rochester Row,995000,Flat / Apartment,747,2,2,2,Westminster,London,SW1P 1LQ
1690,Vincent Square,3600000,House,2600,4,4,4,,London,SW1P 2NP
1691,Elsham Road,750000,Flat / Apartment,709,2,2,2,,London,W14 8HB
1692,Cambridge Street,680000,Flat / Apartment,581,2,2,2,Pimlico,London,SW1V 4QE
1693,Roden Street,1395000,House,1428,5,5,5,Holloway,London,N7 6QJ
1694,Bolanachi Building,575000,Flat / Apartment,745,2,2,2,Enid Street,London,SE16 3EX
1695,Barham Road,2675000,House,3595,5,5,5,Wimbledon,London,SW20 0ET
1696,Shepherdess Walk,2200000,Flat / Apartment,2288,3,3,3,Old Street,London,N1 7LB
1697,Wellington Close,2300000,House,1447,2,2,2,,London,W11 2AN
1698,Kenilworth Gardens,520000,House,1162,4,4,4,,London,SE18 3JB
1699,Hillbrook Road,875000,House,1140,4,4,4,,London,SW17 8SF
1700,Television Centre,740000,Penthouse,579,1,1,1,101 Wood Lane,London,W12 7FS
1701,Phoenix Way,525000,Flat / Apartment,699,2,2,2,,London,SW18 2PW
1702,Wood Crescent,1250000,Flat / Apartment,897,2,2,2,,London,W12 7GP
1703,Graveney Road,795000,House,1236,3,3,3,,London,SW17 0EQ
1704,Sulgrave Road,1995000,House,2055,4,4,4,,London,W6 7QH
1705,Wellfield Road,750000,House,1030,3,3,3,,London,SW16 2BY
1706,17 Lillie Square,1430000,New development,905,2,2,2, Earls Court,London,SW6 1UE
1707,Claremont Square,1500000,Flat / Apartment,1197,2,2,2,,London,N1 9LS
1708,Leppoc Road,1890000,House,2408,5,5,5,,London,SW4 9LT
1709,Walsingham,1990000,Flat / Apartment,1364,3,3,3,St. Johns Wood Park,London,NW8 6RG
1710,Battersea Park Road,825000,Flat / Apartment,1109,2,2,2,,London,SW11 4ND
1711,Samford House,525000,Flat / Apartment,779,4,4,4,Charlotte Terrace,London,N1 0JF
1712,Buckston Browne Gardens,1900000,House,4558,5,5,5, Orpington,Kent,BR6 7FF
1713,Leathwaite Road,725000,Flat / Apartment,635,2,2,2,,London,SW11 1XQ
1714,Telfords Yard,900000,Flat / Apartment,1436,2,2,2,,London,E1W 2BS
1715,Belgrave Road,3995000,House,4642,6,6,6,Pimlico,London,SW1V 2BQ
1716,Dalby Road,1100000,House,1420,3,3,3, Wandsworth,London1500,SW18 1AW
1717,Deerings Drive,975000,House,1448,4,4,4,Pinner,Middlesex,HA5 2NZ
1718,Astonville Street,1225000,House,1495,4,4,4,Southfields,London,SW18 5AG
1719,Upper Halliford Road,325000,Flat / Apartment,601,2,2,2,Shepperton,Middlesex,TW17 8SH
1720,Earlsfield Road,1175000,House,2259,5,5,5,Wandsworth,London,SW18 3DY
1721,City Road,500000,Flat / Apartment,551,1,1,1,Shoreditch,London,EC1V 1AG
1722,Wilton Place,6600000,House,3388,5,5,5,,London,SW1X 8RH
1723,Hillbrow,850000,Flat / Apartment,1239,3,3,3, Richmond,Surrey,TW10 6BH
1724,Church Road,3950000,House,4629,6,6,6, Richmond,Surrey,TW10 5HG
1725,Regents Park Road,1750000,Flat / Apartment,1677,2,2,2,Primrose Hill,London,NW1 7SX
1726,Spencer Road,1950000,House,2797,6,6,6,East Molesey,Surrey,KT8 0SP
1727,York Mansions,2100000,Flat / Apartment,1550,3,3,3,Prince of Wales Drive,London,SW11 4BN
1728,Candlemakers Apartments,550000,Flat / Apartment,759,1,1,1, Battersea,London,SW11 3RS
1729,Bond Mansions (Phase 2a),690000,New development,633,1,1,1,,Wornington Road,W10 5RZ
1730,Bond Mansions (Phase 2a),685000,New development,594,1,1,1,,Wornington Road,W10 5RZ
1731,Bond Mansions (Phase 2a),765000,New development,733,2,2,2,,Wornington Road,W10 5RZ
1732,Cavendish Road,435000,Flat / Apartment,412,1,1,1,,London,SW12 0BH
1733,Cavendish Road,435000,Flat / Apartment,420,1,1,1,,London,SW12 0BH
1734,Bond Mansions (Phase 2a),825000,New development,775,2,2,2,,Wornington Road,W10 5RZ
1735,Bond Mansions,710000,New development,830,1,1,1,,Wornington Road,W10 5RZ
1736,Avenue Close,1695000,Flat / Apartment,1168,2,2,2,Avenue Road,London,NW8 6DA
1737,Cavendish Road,850000,Flat / Apartment,907,3,3,3,,London,SW12 0BH
1738,The Listed Building,970000,Flat / Apartment,1350,2,2,2,350 The Highway,London,E1W 3HU
1739,Highbury Hill,1650000,House,1642,4,4,4,,London,N5 1AU
1740,Trouville Road,1050000,Flat / Apartment,1050,2,2,2,,London,SW4 8QL
1741,Clancarty Road,1750000,House,1770,4,4,4,,London,SW6 3AH
1742,Pembridge Road,750000,Flat / Apartment,477,1,1,1,,London,W11 3HN
1743,Kensington House,650000,Flat / Apartment,1162,2,2,2, Woodford Green,Essex,IG8 8RJ
1744,Belsize Avenue,580000,Flat / Apartment,607,1,1,1,,London,NW3 4BL
1745,17 Lillie Square,1680000,New development,1100,2,2,2, Earls Court,London,SW6 1UE
1746,Turner House,1250000,Flat / Apartment,802,1,1,1, Covent Garden,London,WC2R 0PP
1747,Pierhead Lock,700000,Flat / Apartment,1387,4,4,4, Canary Wharf,London,E14 3FD
1748,Barmouth Road,799999,Flat / Apartment,1283,2,2,2,Wandsworth,London,SW18 2DN
1749,Margil House,825000,Flat / Apartment,1175,3,3,3,Singapore Road,London,W13 0FD
1750,Television Centre,1050000,Flat / Apartment,953,2,2,2,101 Wood Lane,London,W12 7FT
1751,St. Ann's Crescent,575000,Flat / Apartment,720,2,2,2,,London,SW18 2LR
1752,Eamont Court,725000,Flat / Apartment,617,2,2,2, St Johns Wood,London,NW8 7DW
1753,Hampton Court Way,1000000,House,1827,4,4,4,,Thames Ditton,KT7 0LT
1754,Lanson Building,525000,Flat / Apartment,472,1,1,1,348 Queenstown Road,London,SW11 8QN
1755,Hepworth Court,1600000,Flat / Apartment,1019,3,3,3,30 Gatliff Road,London,SW1W 8QP
1756,Baxendale Street,950000,House,987,2,2,2,Shoreditch,London,E2 7BY
1757,Redesdale Street,4250000,House,2223,4,4,4,,London,SW3 4BL
1758,Ravenswood Park,1100000,House,2007,4,4,4,Northwood,Middlesex,HA6 3PR
1759,Davenham Avenue,1600000,House,2914,4,4,4,Northwood,Middlesex,HA6 3HW
1760,Chiltern Place,12950000,New development,2840,2,2,2, Marylebone,London,W1U 4EJ
1761,Grosvenor Avenue,749950,Flat / Apartment,1053,3,3,3,Highbury,London,N5 2NP
1762,Devonshire Road,899950,House,1344,5,5,5,,London,W5 4TR
1763,Barwell Court Farmhouse,699950,House,1410,3,3,3, Chessington,Surrey,KT9 2LZ
1764,Hugero Point,399995,Flat / Apartment,569,1,1,1, Greenwich,London,SE10 0GS
1765,Ionian Building,525000,Flat / Apartment,814,1,1,1,45 Narrow Street,London,E14 8DW
1766,Palladian Gardens,2500000,New development,2967,5,5,5,Chiswick,London,W4 2ER
1767,Vanilla & Sesame Court,950000,Flat / Apartment,698,2,2,2,Curlew Street,London,SE1 2NP
1768,George Road,1750000,New development,2553,5,5,5,Kingston Upon Thames,Surrey,KT2 7NR
1769,Lysia Street,1225000,House,1510,4,4,4,Fulham,London,SW6 6NE
1770,Stormont Road,700000,Flat / Apartment,678,2,2,2,,London,SW11 5EJ
1771,17 Lillie Square,2170000,New development,1081,3,3,3, Earls Court,London,SW6 1UE
1772,Cholmondeley Walk,3250000,House,3410,3,3,3,Richmond,Surrey,TW9 1NS
1773,Talisman Tower,630000,Flat / Apartment,709,2,2,2, Canary Wharf,London,E14 9BU
1774,St Paul Street,1600000,House,1565,3,3,3,Islington,London,N1 7AH
1775,Balcorne Street,475000,Flat / Apartment,626,2,2,2,South Hackney,London,E9 7AU
1776,Ormond Road,1025000,Flat / Apartment,992,3,3,3,Richmond,Surrey,TW10 6TH
1777,Fulham Road,500000,Flat / Apartment,481,1,1,1,,London,SW6 5SA
1778,Cleveland Street,550000,Flat / Apartment,358,1,1,1,Fitzrovia,London,W1T 6NU
1779,Ferry Road,4350000,House,4862,6,6,6,Barnes,London,SW13 9PR
1780,Greenhill Court,575000,Flat / Apartment,997,2,2,2, Northwood,Middlesex,HA6 2BD
1781,Wadham Road,1345000,House,1909,4,4,4,Putney,London,SW15 2LS
1782,Carmalt Gardens,2250000,House,2978,5,5,5,Putney,London,SW15 6NE
1783,Parliament View Apartments,1600000,Flat / Apartment,1192,2,2,2,Lambeth,London,SE1 7XQ
1784,Drapers Yard,515000,Flat / Apartment,578,1,1,1,Wandsworth,London,SW18 1SF
1785,East Hill,495000,Flat / Apartment,693,1,1,1,,London,SW18 2HQ
1786,Coborn Road,1485000,House,1541,4,4,4,Bow,London,E3 2DA
1787,Park Village East,3650000,House,2034,4,4,4,Regent's Park,London,NW1 7PZ
1788,Melrose Road,630000,House,1596,4,4,4,Coulsdon,Surrey,CR5 3JH
1789,Elspeth Road,675000,Flat / Apartment,1021,3,3,3,,London,SW11 1DS
1790,Knightsbridge,17950000,New development,5880,5,5,5,,London,SW3 2AH
1791,Clephane Road,699950,Flat / Apartment,976,3,3,3,Canonbury,London,N1 2FT
1792,Thorpe Hall Mansions,600000,Flat / Apartment,854,3,3,3,Eaton Rise,London,W5 2HB
1793,Aragon Avenue,900000,House,1363,4,4,4,Thames Ditton,Surrey,KT7 0PY
1794,Woodbourne Drive,1195000,House,2149,4,4,4, Esher,Surrey,KT10 0DR
1795,Des Barres Court,395000,Penthouse,594,1,1,1, Greenwich,London,SE10 0GY
1796,Landmark East Tower,795000,Flat / Apartment,862,2,2,2,24 Marsh Wall,London,E14 9DB
1797,Argyll Mansions,1350000,Flat / Apartment,1768,3,3,3,Bishops King Road,London,W14 8QQ
1798,Benbow House,3600000,Flat / Apartment,2147,3,3,3,24 New Globe Walk,London,SE1 9DS
1799,Fernshaw Mansions,1599950,Flat / Apartment,1111,3,3,3,Fernshaw Road,London,SW10 0TD
1800,The Tower,1850000,Flat / Apartment,1176,2,2,2,1 St. George Wharf,London,SW8 2DU
1801,Weldin Mews,875000,House,1211,3,3,3,Putney,London,SW18 1FT
1802,Bolingbroke Grove,625000,Flat / Apartment,760,2,2,2,,London,SW11 6HB
1803,North Side Wandsworth Common,5500000,House,4273,6,6,6,,London,SW18 2SU
1804,Chiswick Wharf,1595000,House,1643,5,5,5,Chiswick,London,W4 2SR
1805,Pembridge Villas,4750000,House,2979,4,4,4,,London,W11 3EN
1806,Whittingstall Road,675000,Flat / Apartment,638,1,1,1,Fulham,London,SW6 4EA
1807,Noel Road,900000,Flat / Apartment,822,2,2,2,Islington,London,N1 8HD
1808,Buckland Crescent,6450000,House,5288,6,6,6,Belsize Park,London,NW3 5DX
1809,Chantry Street,1600000,House,1195,2,2,2,Islington,London,N1 8NL
1810,Banister House,465000,Flat / Apartment,730,2,2,2,Homerton High Street,London,E9 6BH
1811,North Street,850000,Flat / Apartment,842,2,2,2,,London,SW4 0HQ
1812,Baronsmead Road,3250000,House,3179,6,6,6,Barnes,London,SW13 9RR
1813,Tower View Apartments,1500000,Flat / Apartment,1200,2,2,2,84 St. Katharines Way,London,E1W 1BE
1814,Old School Square,450000,Flat / Apartment,717,2,2,2,Canary Wharf,London,E14 7DJ
1815,Ashley Gardens,2375000,Flat / Apartment,2123,3,3,3,Emery Hill Street,London,SW1P 1PD
1816,Broom Close,1550000,House,3065,4,4,4,Esher,Surrey,KT10 9ET
1817,Elers Road,1780000,House,2264,5,5,5,Ealing,London,W13 9QB
1818,Mortimer Road,775000,Flat / Apartment,729,2,2,2,De Beauvoir,London,N1 4LA
1819,Palace Mansions,1450000,Flat / Apartment,1700,4,4,4,Earsby Street,London,W14 8QW
1820,Wendon Street,425000,Flat / Apartment,563,1,1,1,Bow,London,E3 2JR
1821,Cheyne Walk,2250000,Flat / Apartment,1171,2,2,2,,London,SW3 5LX
1822,Hyde Park Gardens,4250000,Penthouse,1946,4,4,4,,London,W2 2LU
1823,Byfeld Gardens,2000000,House,2009,4,4,4,Barnes,London,SW13 9HP
1824,Severnake Close,800000,House,1260,4,4,4,Canary Wharf,London,E14 9WE
1825,Harrowgate Road,900000,House,1275,3,3,3,Homerton,London,E9 5EB
1826,Glebe Place,6950000,House,3774,5,5,5,,London,SW3 5JB
1827,Borneo Street,779000,Flat / Apartment,832,2,2,2,Putney,London,SW15 1QQ
1828,Dyers Lane,945000,House,1146,2,2,2,Putney,London,SW15 6JR
1829,Cygnet Close,1295000,House,2055,4,4,4,Northwood,Middlesex,HA6 2TA
1830,Aristotle Road,599999,Flat / Apartment,821,2,2,2,,London,SW4 7UZ
1831,Northcote Road,550000,Flat / Apartment,630,2,2,2,,London,SW11 6QB
1832,Vardens Road,700000,Flat / Apartment,680,2,2,2,,London,SW11 1RQ
1833,Waterloo Terrace,1850000,House,1512,3,3,3,Islington,London,N1 1TQ
1834,Ember Lane,1299995,House,2394,5,5,5,Esher,Surrey,KT10 8EF
1835,Palace Road,2850000,House,5116,6,6,6,East Molesey,Surrey,KT8 9DW
1836,Sheen Common Drive,2650000,House,2942,6,6,6,Richmond,Surrey,TW10 5BW
1837,Vicary House,795000,New development,541,1,1,1,24 Bartholomew Close,London,EC1A 7BB
1838,The Chase,2850000,House,5380,6,6,6, Tadworth,Surrey,KT20 6HZ
1839,Saltram Crescent,750000,Flat / Apartment,1043,3,3,3,,London,W9 3JS
1840,Langroyd Road,900000,House,1207,3,3,3,,London,SW17 7PL
1841,Leighton House,875000,Flat / Apartment,922,3,3,3,John Islip Street,London,SW1P 4EA
1842,Tennyson Road,775000,House,1201,3,3,3,,London,SW19 8SH
1843,Port East Apartments,565000,Flat / Apartment,653,1,1,1, Canary Wharf,London,E14 4AX
1844,City Road,2000000,New development,1342,3,3,3,Shoreditch,London,EC1V 1AZ
1845,City Road,1000000,New development,772,2,2,2,Shoreditch,London,EC1V 1AZ
1846,Hillgate Place,3075000,House,1477,3,3,3,,London,W8 7ST
1847,Newman Street,895000,Flat / Apartment,601,1,1,1,Fitzrovia,London,W1T 1PN
1848,City Road,900000,Flat / Apartment,1273,2,2,2,Shoreditch,London,EC1V 2NR
1849,Priory Lane,699950,House,1226,3,3,3,West Molesey,Surrey,KT8 2PS
1850,Dartmouth Park Road,850000,Flat / Apartment,1382,3,3,3,Dartmouth Park,London,NW5 1SX
1851,Battersea Church Road,725000,Flat / Apartment,872,2,2,2,Battersea,London,SW11 3LY
1852,Mapleton Crescent,345000,Flat / Apartment,433,1,1,1,Wandsworth,London,SW18 4GY
1853,Oxhey Road,950000,House,1896,4,4,4,Oxhey,Watford,WD19 4QQ
1854,Venice Lodge,1700000,Penthouse,1378,3,3,3,Maida Vale,London,W9 1SD
1855,Stratford Road,1550000,Flat / Apartment,958,3,3,3,,London,W8 6QA
1856,Imperial Court,1350000,Flat / Apartment,1428,3,3,3,4-10 Lexham Gardens,London,W8 5JH
1857,Highbury Place,999950,Flat / Apartment,726,2,2,2,Highbury,London,N5 1QZ
1858,Cross Street,3300000,House,2640,5,5,5,Islington,London,N1 2BH
1859,Kings Drive,1200000,House,2491,3,3,3,Surbiton,Surrey,KT5 8NQ
1860,Winterdown Road,899950,House,1504,3,3,3,Esher,Surrey,KT10 8LJ
1861,Marine Wharf East,485000,New development,545,1,1,1,,Surrey Quays,SE16 7UD
1862,Lucienne Court,630000,Penthouse,1043,2,2,2,72 Lindfield Street,London,E14 6GT
1863,47 Pilot Walk,720000,Flat / Apartment,987,2,2,2,Greenwich,London,SE10 0NW
1864,Park Road,2350000,House,2666,4,4,4,Grove Park,London,W4 3HP
1865,Edgarley Terrace,800000,Flat / Apartment,703,2,2,2,,London,SW6 6QE
1866,Octavia Street,1800000,House,1909,4,4,4,Battersea,London,SW11 3DN
1867,Barrow Road,1650000,House,2942,5,5,5,,London,SW16 5PE
1868,Shandon Road,945000,Flat / Apartment,1081,2,2,2,,London,SW4 9HP
1869,Princes Drive,2500000,House,5101,6,6,6, Leatherhead,Surrey,KT22 0UL
1870,Watford Heath,995000,House,1845,4,4,4,Oxhey Village,Watford,WD19 4EU
1871,Catalina House,685000,Flat / Apartment,560,1,1,1,4 Canter Way,London,E1 8QE
1872,Rosemont Road,1100000,House,1582,4,4,4,Hampstead,London,NW3 6NE
1873,17 Lillie Square,865000,New development,606,1,1,1, Earls Court,London,SW6 1UE
1874,Haverstock Place,725000,Flat / Apartment,696,2,2,2,Haverstock Street,London,N1 8BX
1875,Saville Road,1200000,House,1310,4,4,4,Chiswick,London,W4 5HG
1876,Castelnau,1700000,House,2126,4,4,4,Barnes,London,SW13 9ER
1877,Herne Road,995000,House,1839,5,5,5,Surbiton,Surrey,KT6 5BX
1878,Ludo Building,525000,Flat / Apartment,596,2,2,2,375 Earlsfield Road,London,SW18 3DG
1879,Paultons Square,6350000,House,2948,4,4,4,,London,SW3 5AP
1880,Broom Road,2275000,House,2803,5,5,5,Teddington,Middlesex,TW11 9PG
1881,Burnelli Building,825000,Flat / Apartment,722,2,2,2,352 Queenstown Road,London,SW11 8NG
1882,Peninsula Heights,1750000,Flat / Apartment,1481,2,2,2,93 Albert Embankment,London,SE1 7TY
1883,Old Ford Road,530000,Flat / Apartment,626,2,2,2,,London,E3 5NQ
1884,St. Ann's Terrace,1795000,Flat / Apartment,1149,2,2,2,St. John's Wood,London,NW8 6PH
1885,Mallinson Road,725000,Flat / Apartment,805,2,2,2,,London,SW11 1BL
1886,Richmond Road,775000,Flat / Apartment,996,2,2,2,Hackney,London,E8 3QW
1887,Manor Road,850000,House,1242,3,3,3,,London,W13 0JA
1888,The Gallops,825000,House,1272,3,3,3,Esher,Surrey,KT10 8BN
1889,Henry Tate Mews,845000,House,1510,4,4,4,,London,SW16 3HA
1890,Paget Street,850000,Flat / Apartment,826,2,2,2,Clerkenwell,London,EC1V 7PA
1891,Malthouse Passage,1000000,House,1354,3,3,3,Barnes,London,SW13 0AQ
1892,Buckingham Court,1050000,Flat / Apartment,751,2,2,2,78 Buckingham Gate,London,SW1E 6PE
1893,Lavender Hill,575000,Flat / Apartment,765,2,2,2,,London,SW11 5RW
1894,Benbow Road,995000,Flat / Apartment,1013,2,2,2,,London,W6 0AU
1895,Brendon Close,1650000,House,3285,4,4,4,Esher,Surrey,KT10 9EH
1896,Wood Crescent,1545000,New development,1440,2,2,2,,London,W12 7GJ
1897,The Highway,869995,Flat / Apartment,1333,2,2,2,,London,E1W 3HU
1898,Ensleigh Lodge,4250000,House,3893,5,5,5,25 Ham Common,Surrey,TW10 7JB
1899,Bessborough Place,1800000,House,1467,3,3,3,,London,SW1V 3SE
1900,Cabul Road,799950,Flat / Apartment,1194,3,3,3,,London,SW11 2PN
1901,Blackhills,1999500,House,3769,5,5,5,Esher,Surrey,KT10 9JW
1902,Boleyn Road,885000,Penthouse,1084,3,3,3,,London,N16 8EP
1903,Farnsworth Court,495000,Flat / Apartment,821,2,2,2, Greenwich,London,SE10 0RU
1904,Seymour Road,1550000,New development,2690,5,5,5,East Molesey,Surrey,KT8 0PF
1905,Chelsea Court,600000,Flat / Apartment,455,1,1,1,95 Elm Park Gardens,London,SW10 9QW
1906,Park Road,1925000,House,4124,6,6,6,Banstead,Surrey,SM7 3EF
1907,Clapham Common North Side,3425000,House,3622,6,6,6,,London,SW4 9SB
1908,Stillingfleet Road,1500000,House,2278,5,5,5,Barnes,London,SW13 9AF
1909,Eustace Building,800000,Flat / Apartment,708,2,2,2,372 Queenstown Road,London,SW11 8NT
1910,Highbury Place,1050000,Flat / Apartment,1020,2,2,2,,London,N5 1QP
1911,Islington Green,675000,Flat / Apartment,628,2,2,2,Islington,London,N1 2XA
1912,Highgate High Street,875000,Flat / Apartment,1077,2,2,2,Highgate,London,N6 5JG
1913,Norman Avenue,1900000,House,2061,5,5,5,,Twickenham,TW1 2LY
1914,Frithwood Avenue,450000,Flat / Apartment,708,2,2,2,Northwood,Middlesex,HA6 3LX
1915,Elsham Road,750000,Flat / Apartment,778,2,2,2,,London,W14 8HB
1916,Atkins Square,685000,New development,1000,3,3,3,Dalston Lane,London,E8 1FA
1917,Dukes Mews,4000000,House,2435,3,3,3,Marylebone,London,W1U 3ET
1918,Beech Close,1335000,House,1771,3,3,3,Putney,London,SW15 4HW
1919,Admiralty House,2250000,New development,1265,3,3,3,150 Vaughan Way,London,E1W 2AH
1920,Crane Grove,850000,Flat / Apartment,723,2,2,2,,London,N7 8LE
1921,Crane Grove,550000,Flat / Apartment,536,1,1,1,,London,N7 8LE
1922,Crane Grove,1400000,House,1259,3,3,3,,London,N7 8LE
1923,Balham Grove,1200000,House,1335,4,4,4,Nightingale Triangle,London,SW12 8AZ
1924,Poppyfield House,495000,Flat / Apartment,767,2,2,2,Copperwood Place,London,SE10 8GD
1925,Thornhill Road,2750000,House,2479,4,4,4, Islington,London,N1 1JT
1926,Mare Street,1675000,House,2110,4,4,4,Hackney,London,E8 1HE
1927,Asquith House,1595000,Flat / Apartment,1316,3,3,3, Westminster,London,SW1P 2AR
1928,Boydell Court,1395000,Flat / Apartment,1171,3,3,3,St. Johns Wood Park,London,NW8 6NJ
1929,The Galleries,3295000,Flat / Apartment,2435,4,4,4,9 Abbey Road,London,NW8 9AQ
1930,Fleur De Lis Street,800000,Flat / Apartment,857,1,1,1,Spitalfields,London,E1 6BP
1931,Chester Row,3300000,House,1669,3,3,3,Belgravia,London,SW1W 8JP
1932,Queens Road,625000,Flat / Apartment,729,2,2,2,Richmond,Surrey,TW10 6JW
1933,Oak Lodge Avenue,1000000,House,2232,5,5,5,Chigwell,Essex,IG7 5JA
1934,Eden Close,2250000,House,1735,3,3,3,,London,W8 6UW
1935,Spice Court,475000,Flat / Apartment,566,1,1,1,Asher Way,London,E1W 2JD
1936,Victoria Wharf,750000,Flat / Apartment,885,2,2,2, Limehouse,London,E14 8DD
1937,Askew Mansions,675000,Flat / Apartment,858,3,3,3,,London,W12 9DA
1938,Castelnau Gardens,950000,Flat / Apartment,1016,2,2,2,Barnes,London,SW13 8DU
1939,Garratt Lane,450000,Flat / Apartment,495,1,1,1,Wandsworth,London,SW18 4SW
1940,Castle Road,1500000,House,5587,7,7,7, Coulsdon,Surrey,CR5 3NS
1941,King Henrys Road,2250000,Flat / Apartment,1547,3,3,3,Primrose Hill,London,NW3 3RP
1942,Cole Park Road,2295000,House,3823,6,6,6,,Twickenham,TW1 1HT
1943,Montpelier Mews,2675000,House,1087,3,3,3,,London,SW7 1HB
1944,Sheen Common Drive,3650000,House,4135,5,5,5,Richmond,Surrey,TW10 5BN
1945,Hillview,1250000,Flat / Apartment,943,2,2,2,2-4 Primrose Hill Road,London,NW3 3AX
1946,Sandown House,650000,Flat / Apartment,1031,2,2,2, Esher,Surrey,KT10 9SL
1947,Drake House,850000,Flat / Apartment,861,2,2,2, Vauxhall,London,SW8 2LR
1948,West India Quay,1000000,Flat / Apartment,1514,2,2,2, Canary Wharf,London,E14 4EF
1949,Bartholomew Villas,825000,Flat / Apartment,687,2,2,2,Kentish Town,London,NW5 2LL
1950,Parkfields,2950000,House,3235,6,6,6,Putney,London,SW15 6NH
1951,Montevetro,1595000,Flat / Apartment,1219,2,2,2, Battersea,London,SW11 3YL
1952,St. John's Wood Terrace,3750000,House,2243,5,5,5,St John's Wood,London,NW8 6JL
1953,Birchside Apartments,550000,Flat / Apartment,599,1,1,1, Queens Park,London,NW6 5FS
1954,Alaska Apartments,590000,Flat / Apartment,1048,2,2,2, Royal Docks,London,E16 1BW
1955,Newton Street,1298000,New development,591,1,1,1,Covent Garden,London,WC2B 5EL
1956,Eaton Terrace,7100000,House,2908,5,5,5,Belgravia,London,SW1W 8TW
